,track_id,genre
2,2,Hip-Hop
4,5,Hip-Hop
5,10,Pop
17,140,Folk
18,141,Folk
24,148,Experimental
57,182,Rock
63,190,Folk
66,193,Folk
67,194,Folk
70,197,Folk
73,200,Folk
76,203,Folk
77,204,Folk
80,207,Folk
83,210,Folk
84,211,Folk
85,212,Folk
86,213,Pop
101,255,Rock
102,256,Rock
182,368,Rock
218,424,Experimental
248,459,Rock
316,534,Folk
322,540,Folk
328,546,Folk
353,574,Rock
372,602,Folk
385,615,Experimental
390,620,Folk
391,621,Folk
395,625,Folk
434,666,International
435,667,International
444,676,Hip-Hop
458,690,Rock
462,694,Hip-Hop
463,695,Hip-Hop
472,704,International
473,705,International
474,706,International
475,707,International
476,708,International
477,709,International
481,714,Folk
482,715,Folk
483,716,Folk
485,718,Folk
540,777,Rock
570,814,Folk
577,821,Pop
578,822,Pop
581,825,Rock
607,853,International
641,890,Folk
643,892,Folk
648,897,Experimental
744,993,Rock
745,995,Experimental
747,997,Experimental
748,998,Experimental
784,1039,Rock
785,1040,Rock
805,1066,Experimental
808,1069,Experimental
812,1073,Experimental
814,1075,Experimental
821,1082,International
822,1083,Experimental
826,1087,Rock
841,1102,Rock
922,1193,Folk
924,1195,Folk
925,1196,Folk
926,1197,Folk
976,1249,Experimental
986,1259,Experimental
997,1270,Rock
1003,1276,Experimental
1004,1277,Experimental
1005,1278,Experimental
1114,1417,Rock
1124,1427,Rock
1139,1443,Experimental
1151,1482,Electronic
1178,1510,Experimental
1212,1544,Folk
1309,1642,Pop
1311,1644,Pop
1314,1649,Pop
1320,1661,Pop
1322,1663,Pop
1325,1666,Pop
1332,1673,Experimental
1339,1680,International
1340,1681,International
1341,1682,International
1342,1683,International
1343,1684,International
1344,1685,International
1345,1686,International
1346,1687,International
1347,1688,International
1348,1689,International
1360,1701,Folk
1361,1702,Folk
1362,1703,Folk
1363,1704,Folk
1365,1706,Rock
1379,1720,Rock
1389,1732,Experimental
1390,1733,Experimental
1392,1735,Experimental
1393,1736,Experimental
1510,1883,Rock
1518,1891,Rock
1520,1893,Folk
1544,1924,Folk
1545,1925,Folk
1549,1929,Experimental
1550,1930,Rock
1632,2012,Experimental
1654,2096,Experimental
1655,2097,Folk
1657,2099,Pop
1693,3263,Folk
1694,3264,Folk
1695,3265,Folk
1696,3266,Folk
1700,3270,Folk
1701,3271,Folk
1702,3272,Folk
1703,3273,Folk
1704,3274,Folk
1839,3492,Rock
1861,3532,Pop
1862,3533,Pop
1863,3534,Pop
1864,3535,Pop
1866,3537,Pop
1867,3538,Pop
1899,3573,Electronic
1921,3598,Folk
1943,3624,Rock
2013,3707,Folk
2014,3708,Folk
2026,3720,Rock
2027,3721,Rock
2028,3722,Rock
2030,3724,Rock
2031,3725,Rock
2063,3761,Rock
2064,3762,Rock
2065,3763,Rock
2067,3765,Rock
2068,3766,Rock
2077,3775,International
2078,3776,International
2079,3777,International
2080,3778,International
2081,3779,International
2132,3832,Folk
2133,3833,Rock
2140,3840,Rock
2176,3880,Folk
2191,3895,International
2192,3896,International
2198,3904,Folk
2199,3905,Folk
2200,3906,Folk
2201,3908,Folk
2202,3909,Folk
2203,3910,Folk
2204,3911,Folk
2205,3912,Folk
2206,3913,Folk
2213,3920,Folk
2214,3921,Folk
2242,3950,Rock
2296,4013,Folk
2300,4017,Folk
2305,4022,Rock
2320,4037,Folk
2333,4066,Folk
2334,4067,Folk
2335,4068,Folk
2336,4069,Folk
2337,4070,International
2338,4071,International
2339,4072,International
2340,4073,International
2341,4074,International
2342,4075,International
2343,4076,International
2344,4077,International
2345,4078,International
2346,4079,International
2347,4080,International
2358,4091,International
2359,4092,International
2360,4093,International
2361,4094,International
2362,4095,International
2363,4096,International
2364,4097,International
2365,4098,International
2366,4099,International
2367,4100,International
2368,4101,International
2369,4102,International
2370,4103,International
2375,4108,Rock
2480,4232,International
2481,4233,International
2482,4234,International
2483,4235,International
2484,4236,International
2487,4239,International
2649,4450,Folk
2704,4507,International
2705,4508,International
2706,4509,International
2707,4510,International
2708,4511,International
2715,4519,Electronic
2716,4520,Electronic
2717,4521,Electronic
2718,4522,Electronic
2743,4682,Hip-Hop
2745,4684,Hip-Hop
2746,4685,Hip-Hop
2749,4688,Hip-Hop
2822,4777,Rock
2823,4778,Rock
2824,4779,Rock
2825,4780,Rock
2826,4781,Rock
2827,4782,Rock
2829,4784,Rock
2830,4785,Rock
2831,4786,Rock
2832,4787,Rock
2833,4788,Rock
2844,4799,Rock
2858,4835,Rock
2859,4836,Rock
2861,4838,Rock
2865,4846,International
2867,4848,International
2868,4849,International
3019,5006,Rock
3115,5156,Folk
3116,5157,Folk
3117,5158,Folk
3118,5159,Folk
3127,5169,Folk
3128,5170,Folk
3129,5171,Folk
3145,5191,Pop
3175,5264,Hip-Hop
3179,5268,Hip-Hop
3237,5376,Folk
3242,5381,Folk
3269,5521,Experimental
3309,5879,Folk
3319,5936,Folk
3321,5940,Folk
3355,6329,International
3356,6330,International
3357,6331,International
3358,6332,International
3359,6333,International
3360,6342,International
3361,6354,International
3363,6357,International
3364,6358,International
3365,6360,International
3366,6363,International
3368,6366,International
3369,6367,International
3370,6368,International
3372,6370,International
3373,6372,International
3374,6373,International
3377,6376,International
3378,6379,International
3379,6380,International
3380,6381,International
3381,6382,International
3382,6383,International
3383,6385,International
3384,6387,International
3386,6389,International
3387,6390,International
3389,6393,International
3390,6394,International
3392,6396,International
3402,6406,Folk
3403,6407,Folk
3408,6439,Hip-Hop
3409,6440,Hip-Hop
3410,6442,Hip-Hop
3411,6443,Hip-Hop
3412,6448,Hip-Hop
3414,6459,International
3416,6461,Folk
3417,6463,Folk
3421,6467,Folk
3422,6469,International
3427,6517,Rock
3428,6519,Rock
3468,6603,Hip-Hop
3470,6605,Hip-Hop
3471,6606,Hip-Hop
3472,6607,Hip-Hop
3473,6608,Hip-Hop
3474,6609,Hip-Hop
3475,6610,Hip-Hop
3476,6611,Hip-Hop
3508,6674,Experimental
3509,6675,Experimental
3511,6677,Experimental
3513,6679,Experimental
3514,6680,Experimental
3518,6684,Experimental
3549,6762,Folk
3563,6776,Rock
3565,6778,Rock
3566,6779,Folk
3569,6782,Folk
3570,6783,Folk
3575,6788,Rock
3589,6802,International
3590,6803,International
3614,6854,Folk
3615,6855,Folk
3616,6856,Folk
3617,6857,Folk
3649,7011,Electronic
3758,7373,Experimental
3759,7374,Experimental
3760,7375,Experimental
3761,7376,Experimental
3762,7377,Experimental
3763,7378,Experimental
3764,7379,Experimental
3766,7381,Experimental
3768,7383,Experimental
3770,7385,Experimental
3771,7386,Experimental
